Date,Price,Open,High,Low,Change
11-Aug-17,1.182,1.1772,1.1846,1.1747,0.41%
10-Aug-17,1.1772,1.1759,1.1786,1.1704,0.11%
9-Aug-17,1.1759,1.1752,1.1765,1.1689,0.08%
8-Aug-17,1.175,1.1794,1.1825,1.1714,-0.38%
7-Aug-17,1.1795,1.1768,1.1816,1.1768,0.14%
6-Aug-17,1.1778,1.1774,1.1793,1.1772,0.05%
4-Aug-17,1.1772,1.1871,1.1893,1.1731,-0.83%
3-Aug-17,1.187,1.1856,1.1894,1.1831,0.12%
2-Aug-17,1.1856,1.1802,1.1911,1.1794,0.47%
1-Aug-17,1.1801,1.1841,1.1846,1.1784,-0.35%
31-Jul-17,1.1842,1.1737,1.1847,1.1723,0.81%
30-Jul-17,1.1747,1.1748,1.1762,1.1745,-0.04%
28-Jul-17,1.1752,1.1677,1.1765,1.1671,0.64%
27-Jul-17,1.1677,1.1734,1.1777,1.1649,-0.49%
26-Jul-17,1.1734,1.1648,1.1741,1.1613,0.70%
25-Jul-17,1.1652,1.1639,1.1713,1.1631,0.09%
24-Jul-17,1.1642,1.1662,1.1688,1.1628,-0.33%
23-Jul-17,1.1681,1.1666,1.1682,1.1663,0.15%
21-Jul-17,1.1663,1.1634,1.1684,1.162,0.28%
20-Jul-17,1.1631,1.1513,1.1657,1.1479,1.01%
19-Jul-17,1.1515,1.1553,1.1559,1.1509,-0.35%
18-Jul-17,1.1555,1.1479,1.1585,1.1473,0.66%
17-Jul-17,1.1479,1.1463,1.1488,1.1433,0.03%
16-Jul-17,1.1475,1.1472,1.1475,1.1466,0.05%
14-Jul-17,1.1469,1.14,1.1473,1.1392,0.61%
13-Jul-17,1.1399,1.1413,1.1459,1.1373,-0.11%
12-Jul-17,1.1412,1.1467,1.1491,1.1392,-0.48%
11-Jul-17,1.1467,1.1399,1.1481,1.1383,0.59%
10-Jul-17,1.14,1.1391,1.1418,1.1381,-0.03%
9-Jul-17,1.1403,1.1399,1.1404,1.1393,0.02%
7-Jul-17,1.1401,1.1423,1.144,1.1379,-0.19%
6-Jul-17,1.1423,1.1351,1.1425,1.1329,0.62%
5-Jul-17,1.1353,1.1345,1.1369,1.1312,0.07%
4-Jul-17,1.1345,1.1366,1.138,1.1338,-0.17%
3-Jul-17,1.1364,1.1422,1.1431,1.1357,-0.52%
2-Jul-17,1.1423,1.1421,1.1427,1.1417,-0.03%
30-Jun-17,1.1426,1.1442,1.1448,1.1393,-0.13%
29-Jun-17,1.1441,1.1376,1.1446,1.1373,0.55%
28-Jun-17,1.1378,1.1339,1.1392,1.1292,0.34%
27-Jun-17,1.1339,1.1183,1.1351,1.1178,1.40%
26-Jun-17,1.1182,1.1202,1.1222,1.1173,-0.16%
25-Jun-17,1.12,1.1201,1.1201,1.119,0.05%
23-Jun-17,1.1194,1.1152,1.1211,1.1145,0.37%
22-Jun-17,1.1153,1.1168,1.1179,1.114,-0.13%
21-Jun-17,1.1168,1.1133,1.1171,1.1128,0.31%
20-Jun-17,1.1134,1.1147,1.1166,1.1117,-0.13%
19-Jun-17,1.1149,1.1199,1.1214,1.1141,-0.49%
18-Jun-17,1.1204,1.121,1.1211,1.1195,0.06%
16-Jun-17,1.1197,1.1143,1.1202,1.1138,0.47%
15-Jun-17,1.1145,1.1219,1.1231,1.1132,-0.65%
14-Jun-17,1.1218,1.121,1.1296,1.1191,0.02%
13-Jun-17,1.1216,1.1204,1.1225,1.1185,0.12%
12-Jun-17,1.1203,1.1196,1.1235,1.1193,0.01%
11-Jun-17,1.1202,1.121,1.121,1.1197,0.06%
9-Jun-17,1.1195,1.1216,1.124,1.1168,-0.17%
8-Jun-17,1.1214,1.1257,1.127,1.1195,-0.38%
7-Jun-17,1.1257,1.1277,1.1284,1.1205,-0.18%
6-Jun-17,1.1277,1.1254,1.1286,1.124,0.20%
5-Jun-17,1.1254,1.1279,1.1286,1.1235,-0.20%
4-Jun-17,1.1277,1.1273,1.1284,1.1271,-0.04%
2-Jun-17,1.1282,1.1213,1.1287,1.1205,0.62%
1-Jun-17,1.1213,1.1242,1.1258,1.1203,-0.28%
31-May-17,1.1244,1.1187,1.1254,1.1166,0.53%
30-May-17,1.1185,1.1166,1.1208,1.1111,0.17%
29-May-17,1.1166,1.1178,1.1191,1.116,-0.09%
28-May-17,1.1176,1.1172,1.1185,1.1172,-0.06%
26-May-17,1.1183,1.1211,1.1235,1.1159,-0.24%
25-May-17,1.121,1.1218,1.1252,1.1193,-0.08%
24-May-17,1.1219,1.1184,1.1222,1.1169,0.32%
23-May-17,1.1183,1.1237,1.1269,1.1174,-0.49%
22-May-17,1.1238,1.1202,1.1265,1.1162,0.31%
21-May-17,1.1203,1.1197,1.121,1.1197,-0.04%
19-May-17,1.1207,1.1103,1.1214,1.1097,0.94%
18-May-17,1.1103,1.116,1.1173,1.1075,-0.50%
17-May-17,1.1159,1.1083,1.1163,1.1079,0.69%
16-May-17,1.1082,1.0976,1.1098,1.0972,0.97%
15-May-17,1.0975,1.0926,1.0991,1.0922,0.43%
14-May-17,1.0928,1.0931,1.0936,1.0923,-0.03%
12-May-17,1.0931,1.0863,1.0937,1.0857,0.64%
11-May-17,1.0861,1.0869,1.0894,1.0838,-0.06%
10-May-17,1.0868,1.0874,1.09,1.0853,-0.05%
9-May-17,1.0873,1.0924,1.0934,1.0863,-0.47%
8-May-17,1.0924,1.0998,1.1024,1.0917,-0.37%
7-May-17,1.0965,1.1019,1.1022,1.0964,-0.30%
5-May-17,1.0998,1.0991,1.1003,1.0951,0.12%
4-May-17,1.0985,1.0884,1.0987,1.0873,0.92%
3-May-17,1.0885,1.093,1.0939,1.0883,-0.41%
2-May-17,1.093,1.0901,1.0936,1.0889,0.28%
1-May-17,1.0899,1.0906,1.0924,1.0883,-0.06%
30-Apr-17,1.0906,1.0911,1.0911,1.0894,0.08%
28-Apr-17,1.0897,1.0877,1.0949,1.0857,0.22%
27-Apr-17,1.0873,1.0903,1.0933,1.0851,-0.28%
26-Apr-17,1.0903,1.0924,1.0951,1.0856,-0.21%
25-Apr-17,1.0926,1.0868,1.0951,1.0851,0.54%
24-Apr-17,1.0867,1.089,1.0936,1.0819,-0.06%
23-Apr-17,1.0873,1.0918,1.092,1.0865,1.35%
21-Apr-17,1.0728,1.0719,1.0739,1.0682,0.10%
20-Apr-17,1.0717,1.0711,1.078,1.0709,0.06%
19-Apr-17,1.0711,1.073,1.0738,1.07,-0.21%
18-Apr-17,1.0734,1.0644,1.0737,1.0636,0.85%
17-Apr-17,1.0644,1.0615,1.0673,1.0604,0.32%
16-Apr-17,1.061,1.0621,1.0621,1.0603,-0.02%
14-Apr-17,1.0612,1.0615,1.0633,1.0606,-0.02%
13-Apr-17,1.0614,1.0664,1.0679,1.0609,-0.49%
12-Apr-17,1.0666,1.0606,1.0677,1.0589,0.60%
11-Apr-17,1.0602,1.0595,1.0631,1.0577,0.06%
10-Apr-17,1.0596,1.0593,1.0609,1.0571,0.14%
9-Apr-17,1.0581,1.0589,1.0589,1.0574,-0.08%
7-Apr-17,1.059,1.0644,1.0668,1.058,-0.51%
6-Apr-17,1.0644,1.0663,1.0686,1.0629,-0.18%
5-Apr-17,1.0663,1.0672,1.069,1.0633,-0.09%
4-Apr-17,1.0673,1.0669,1.0678,1.0635,0.02%
3-Apr-17,1.0671,1.0661,1.0684,1.0644,0.02%
2-Apr-17,1.0669,1.0661,1.0674,1.066,0.16%
31-Mar-17,1.0652,1.0675,1.0705,1.0652,-0.22%
30-Mar-17,1.0675,1.0766,1.0772,1.0671,-0.85%
29-Mar-17,1.0767,1.0811,1.0827,1.0739,-0.43%
28-Mar-17,1.0813,1.0864,1.0873,1.0797,-0.48%
27-Mar-17,1.0865,1.0797,1.0905,1.0795,0.18%
26-Mar-17,1.0846,1.0838,1.085,1.0827,0.44%
24-Mar-17,1.0799,1.0784,1.082,1.0761,0.15%
23-Mar-17,1.0783,1.0797,1.0807,1.0769,-0.13%
22-Mar-17,1.0797,1.081,1.0827,1.0776,-0.13%
21-Mar-17,1.0811,1.074,1.0822,1.072,0.67%
20-Mar-17,1.0739,1.074,1.0779,1.0725,-0.03%
19-Mar-17,1.0742,1.0734,1.0745,1.0734,0.04%
17-Mar-17,1.0738,1.0765,1.0784,1.0728,-0.26%
16-Mar-17,1.0766,1.0734,1.0772,1.0706,0.29%
15-Mar-17,1.0735,1.0605,1.0743,1.0604,1.24%
14-Mar-17,1.0604,1.0655,1.0664,1.0599,-0.47%
13-Mar-17,1.0654,1.0671,1.0715,1.065,-0.34%
12-Mar-17,1.069,1.0679,1.0693,1.0679,0.17%
10-Mar-17,1.0672,1.0577,1.0702,1.0572,0.90%
9-Mar-17,1.0577,1.0541,1.0617,1.0525,0.34%
8-Mar-17,1.0541,1.0566,1.0576,1.0535,-0.24%
7-Mar-17,1.0566,1.0583,1.0603,1.0557,-0.14%
6-Mar-17,1.0581,1.0617,1.0644,1.0575,-0.38%
5-Mar-17,1.0621,1.061,1.0621,1.06,-0.02%
3-Mar-17,1.0623,1.0508,1.0626,1.0502,1.10%
2-Mar-17,1.0507,1.0547,1.0551,1.0492,-0.38%
1-Mar-17,1.0547,1.0574,1.0589,1.0514,-0.28%
28-Feb-17,1.0577,1.0587,1.0632,1.057,-0.09%
27-Feb-17,1.0587,1.0562,1.0633,1.0551,0.32%
26-Feb-17,1.0553,1.0564,1.0565,1.0552,-0.09%
24-Feb-17,1.0563,1.0583,1.062,1.0557,-0.17%
23-Feb-17,1.0581,1.0558,1.0598,1.0539,0.24%
22-Feb-17,1.0556,1.0534,1.0574,1.0493,0.18%
21-Feb-17,1.0537,1.0611,1.0618,1.0526,-0.73%
20-Feb-17,1.0614,1.0618,1.0637,1.0606,-0.10%
19-Feb-17,1.0625,1.0609,1.0633,1.0606,0.10%
17-Feb-17,1.0614,1.0675,1.0679,1.0605,-0.56%
16-Feb-17,1.0674,1.06,1.0682,1.0588,0.69%
15-Feb-17,1.0601,1.0577,1.0611,1.0523,0.23%
14-Feb-17,1.0577,1.0596,1.0633,1.056,-0.20%
13-Feb-17,1.0598,1.0633,1.0659,1.0591,-0.20%
12-Feb-17,1.0619,1.0629,1.0637,1.0617,-0.21%
10-Feb-17,1.0641,1.0658,1.067,1.0609,-0.14%
9-Feb-17,1.0656,1.0699,1.0711,1.065,-0.40%
8-Feb-17,1.0699,1.0682,1.0715,1.064,0.17%
7-Feb-17,1.0681,1.075,1.0751,1.0654,-0.64%
6-Feb-17,1.075,1.0781,1.0801,1.0703,-0.31%
5-Feb-17,1.0783,1.079,1.0793,1.0778,-0.01%
3-Feb-17,1.0784,1.0759,1.08,1.0714,0.24%
2-Feb-17,1.0758,1.0766,1.0829,1.0753,-0.10%
1-Feb-17,1.0769,1.0798,1.081,1.0731,-0.27%
31-Jan-17,1.0798,1.0695,1.0814,1.0684,0.96%
30-Jan-17,1.0695,1.0692,1.0743,1.062,-0.21%
29-Jan-17,1.0718,1.0723,1.0723,1.0708,0.18%
27-Jan-17,1.0699,1.0685,1.0729,1.0661,0.16%
26-Jan-17,1.0682,1.0746,1.0767,1.0657,-0.61%
25-Jan-17,1.0748,1.0734,1.0773,1.0713,0.16%
24-Jan-17,1.0731,1.0763,1.0775,1.0718,-0.32%
23-Jan-17,1.0765,1.0687,1.0773,1.0686,0.49%
22-Jan-17,1.0713,1.0703,1.0717,1.0695,0.09%
20-Jan-17,1.0703,1.0667,1.0713,1.0627,0.37%
19-Jan-17,1.0664,1.0629,1.0677,1.0588,0.31%
18-Jan-17,1.0631,1.0713,1.0715,1.0625,-0.77%
17-Jan-17,1.0713,1.06,1.072,1.0595,1.04%
16-Jan-17,1.0603,1.0618,1.0638,1.058,-0.23%
15-Jan-17,1.0627,1.0615,1.0636,1.0609,-0.16%
13-Jan-17,1.0644,1.0612,1.0674,1.0598,0.29%
12-Jan-17,1.0613,1.0583,1.0687,1.0573,0.29%
11-Jan-17,1.0582,1.0556,1.0624,1.0454,0.27%
10-Jan-17,1.0554,1.0573,1.0628,1.0551,-0.19%
9-Jan-17,1.0574,1.0539,1.0584,1.051,0.42%
8-Jan-17,1.053,1.0531,1.0536,1.0526,-0.03%
6-Jan-17,1.0533,1.0606,1.0624,1.0523,-0.70%
5-Jan-17,1.0607,1.0493,1.0619,1.0482,1.13%
4-Jan-17,1.0488,1.0405,1.0501,1.0389,0.79%
3-Jan-17,1.0406,1.0455,1.0492,1.0341,-0.51%
2-Jan-17,1.0459,1.0532,1.0534,1.0448,-0.64%
1-Jan-17,1.0526,1.052,1.0532,1.0518,0.10%
30-Dec-16,1.0516,1.0492,1.0654,1.0482,0.23%
29-Dec-16,1.0492,1.0417,1.0494,1.0406,0.77%
28-Dec-16,1.0412,1.0459,1.0484,1.0373,-0.43%
27-Dec-16,1.0457,1.0453,1.0465,1.0431,0.01%
26-Dec-16,1.0456,1.0454,1.0473,1.0439,0.02%
25-Dec-16,1.0454,1.0453,1.0461,1.0449,-0.03%
23-Dec-16,1.0457,1.0438,1.0469,1.0427,0.19%
22-Dec-16,1.0437,1.0423,1.0501,1.0421,0.12%
21-Dec-16,1.0425,1.0389,1.0452,1.0381,0.37%
20-Dec-16,1.0387,1.0405,1.0419,1.0352,-0.14%
19-Dec-16,1.0402,1.0442,1.048,1.0391,-0.43%
18-Dec-16,1.0447,1.044,1.0457,1.0438,-0.04%
16-Dec-16,1.0451,1.0419,1.0477,1.0402,0.36%
15-Dec-16,1.0414,1.0536,1.0544,1.0366,-1.17%
14-Dec-16,1.0537,1.0627,1.0671,1.0495,-0.85%
13-Dec-16,1.0627,1.0635,1.0668,1.0603,-0.08%
12-Dec-16,1.0635,1.0551,1.0652,1.0524,0.83%
11-Dec-16,1.0547,1.0534,1.0552,1.0533,-0.14%
9-Dec-16,1.0562,1.0618,1.0632,1.0531,-0.50%
8-Dec-16,1.0615,1.0753,1.0873,1.0596,-1.28%
7-Dec-16,1.0753,1.0721,1.077,1.0709,0.32%
6-Dec-16,1.0719,1.0764,1.0787,1.0698,-0.42%
