Date,Price,Open,High,Low,Change
27-Oct-17,6.6514,6.6408,6.6632,6.6407,0.13%
26-Oct-17,6.6426,6.6384,6.6435,6.6319,0.05%
25-Oct-17,6.639,6.6375,6.6492,6.6351,0.05%
24-Oct-17,6.6358,6.6403,6.6403,6.627,-0.06%
23-Oct-17,6.64,6.6205,6.6411,6.6205,0.29%
20-Oct-17,6.6205,6.6145,6.6271,6.605,0.08%
19-Oct-17,6.6151,6.6275,6.6391,6.6126,-0.19%
18-Oct-17,6.6274,6.6244,6.629,6.608,0.06%
17-Oct-17,6.6235,6.59,6.6248,6.5899,0.51%
16-Oct-17,6.5899,6.5799,6.5944,6.5742,0.16%
13-Oct-17,6.5796,6.5866,6.5886,6.5737,-0.13%
12-Oct-17,6.588,6.5896,6.5997,6.5838,-0.03%
11-Oct-17,6.5902,6.5724,6.6003,6.5724,0.28%
10-Oct-17,6.5715,6.6237,6.6237,6.5715,-0.82%
9-Oct-17,6.6255,6.6553,6.6571,6.6221,-0.42%
6-Oct-17,6.6534,6.6534,6.6534,6.6534,0.00%
5-Oct-17,6.6534,6.6534,6.6534,6.6534,0.00%
4-Oct-17,6.6534,6.6534,6.6534,6.6534,0.00%
3-Oct-17,6.6534,6.6534,6.6534,6.6534,0.00%
2-Oct-17,6.6534,6.6534,6.6534,6.6534,0.00%
29-Sep-17,6.6534,6.6571,6.6821,6.6368,-0.16%
28-Sep-17,6.664,6.6437,6.678,6.6437,0.32%
27-Sep-17,6.6425,6.6371,6.6447,6.6321,0.04%
26-Sep-17,6.6401,6.618,6.6418,6.6144,0.29%
25-Sep-17,6.6212,6.5919,6.6226,6.5919,0.46%
22-Sep-17,6.5911,6.5873,6.5996,6.5732,0.02%
21-Sep-17,6.5899,6.5739,6.6041,6.5739,0.23%
20-Sep-17,6.5749,6.5849,6.5849,6.5675,-0.14%
19-Sep-17,6.5838,6.5762,6.6006,6.5758,0.15%
18-Sep-17,6.5741,6.5477,6.5759,6.5473,0.33%
15-Sep-17,6.5526,6.5545,6.5552,6.5388,-0.05%
14-Sep-17,6.556,6.544,6.5601,6.544,0.20%
13-Sep-17,6.543,6.5364,6.5431,6.5236,0.12%
12-Sep-17,6.5354,6.5274,6.5498,6.5272,0.09%
11-Sep-17,6.5297,6.5093,6.5303,6.5016,0.74%
8-Sep-17,6.4817,6.4873,6.4873,6.439,-0.07%
7-Sep-17,6.4865,6.5256,6.5321,6.4855,-0.57%
6-Sep-17,6.524,6.5364,6.5485,6.5194,-0.23%
5-Sep-17,6.5388,6.5312,6.5579,6.5194,0.12%
4-Sep-17,6.531,6.5593,6.5604,6.5216,-0.43%
1-Sep-17,6.5591,6.5927,6.5927,6.5516,-0.47%
31-Aug-17,6.5899,6.5927,6.6025,6.5876,-0.07%
30-Aug-17,6.5944,6.597,6.5998,6.5823,-0.04%
29-Aug-17,6.5968,6.622,6.625,6.5938,-0.29%
28-Aug-17,6.6159,6.6467,6.6467,6.6159,-0.51%
25-Aug-17,6.6497,6.6632,6.6707,6.6463,-0.18%
24-Aug-17,6.662,6.6589,6.6661,6.6541,0.05%
23-Aug-17,6.6589,6.662,6.6693,6.6585,-0.05%
22-Aug-17,6.6624,6.6654,6.6654,6.6546,-0.05%
21-Aug-17,6.6656,6.6726,6.6762,6.6656,-0.09%
18-Aug-17,6.6713,6.6743,6.6828,6.6677,-0.06%
17-Aug-17,6.6755,6.6925,6.6925,6.6657,-0.24%
16-Aug-17,6.6916,6.686,6.6981,6.6825,0.09%
15-Aug-17,6.6855,6.6705,6.6864,6.669,0.22%
14-Aug-17,6.6711,6.6618,6.6727,6.657,0.10%
11-Aug-17,6.6647,6.6495,6.6801,6.6495,0.26%
10-Aug-17,6.6475,6.6734,6.6734,6.6464,-0.40%
9-Aug-17,6.6739,6.7068,6.7075,6.6708,-0.49%
8-Aug-17,6.7065,6.7222,6.7222,6.6966,-0.22%
7-Aug-17,6.7214,6.7264,6.729,6.7171,-0.11%
4-Aug-17,6.7289,6.7167,6.7305,6.7149,0.18%
3-Aug-17,6.7169,6.7219,6.733,6.7169,-0.07%
2-Aug-17,6.7219,6.7189,6.7297,6.7189,0.06%
1-Aug-17,6.7181,6.7252,6.7252,6.7157,-0.12%
31-Jul-17,6.7265,6.7387,6.7387,6.7232,-0.16%
28-Jul-17,6.7374,6.7422,6.7498,6.7364,-0.08%
27-Jul-17,6.743,6.755,6.755,6.725,-0.16%
26-Jul-17,6.7539,6.7504,6.7595,6.7504,0.04%
25-Jul-17,6.7511,6.7504,6.7568,6.7425,0.00%
24-Jul-17,6.7511,6.7687,6.7687,6.7507,-0.23%
21-Jul-17,6.7669,6.7576,6.7705,6.7555,0.11%
20-Jul-17,6.7595,6.7536,6.7744,6.7536,0.11%
19-Jul-17,6.7519,6.7458,6.7591,6.7458,0.08%
18-Jul-17,6.7463,6.7703,6.7703,6.7416,-0.35%
17-Jul-17,6.77,6.7751,6.7763,6.7654,-0.09%
14-Jul-17,6.7758,6.7842,6.786,6.7692,-0.11%
13-Jul-17,6.7835,6.7874,6.7874,6.7766,-0.06%
12-Jul-17,6.7877,6.8022,6.8022,6.7868,-0.22%
11-Jul-17,6.8025,6.8041,6.8086,6.7997,-0.02%
10-Jul-17,6.8036,6.8049,6.8049,6.7998,-0.03%
7-Jul-17,6.8059,6.8011,6.8059,6.7969,0.06%
6-Jul-17,6.8015,6.802,6.8074,6.7977,0.00%
5-Jul-17,6.8015,6.8005,6.8035,6.7936,0.01%
4-Jul-17,6.8007,6.8007,6.803,6.7971,0.00%
3-Jul-17,6.8007,6.7781,6.8013,6.7781,0.29%
30-Jun-17,6.7809,6.7856,6.7856,6.7614,-0.09%
29-Jun-17,6.787,6.8014,6.8014,6.7749,-0.19%
28-Jun-17,6.7998,6.8114,6.8114,6.7944,-0.19%
27-Jun-17,6.8126,6.8408,6.8466,6.8088,-0.42%
26-Jun-17,6.8411,6.8339,6.8468,6.8339,0.06%
23-Jun-17,6.8367,6.8346,6.8454,6.8346,0.03%
22-Jun-17,6.8348,6.83,6.8364,6.8275,0.08%
21-Jun-17,6.8295,6.8305,6.8363,6.825,0.00%
20-Jun-17,6.8292,6.8187,6.836,6.8182,0.14%
19-Jun-17,6.8195,6.8112,6.8199,6.8063,0.13%
16-Jun-17,6.8104,6.8048,6.8162,6.8046,0.04%
15-Jun-17,6.8079,6.7896,6.8079,6.7896,0.24%
14-Jun-17,6.7917,6.7988,6.8006,6.7887,-0.11%
13-Jun-17,6.799,6.7971,6.7995,6.7965,0.01%
12-Jun-17,6.7982,6.795,6.7996,6.7948,0.00%
9-Jun-17,6.798,6.7961,6.8041,6.7955,-0.03%
8-Jun-17,6.8003,6.7963,6.8013,6.7938,0.07%
7-Jun-17,6.7957,6.7863,6.7978,6.7862,0.01%
6-Jun-17,6.7953,6.8037,6.8037,6.7926,-0.13%
