Date,Price,Open,High,Low,Change
10-Oct-17,1.3204,1.3141,1.3227,1.3131,0.47%
9-Oct-17,1.3142,1.3069,1.3185,1.3056,0.58%
6-Oct-17,1.3066,1.3119,1.3127,1.3026,-0.40%
5-Oct-17,1.3119,1.3247,1.3251,1.3107,-0.95%
4-Oct-17,1.3245,1.3236,1.3293,1.3234,0.07%
3-Oct-17,1.3236,1.3276,1.3289,1.3222,-0.31%
2-Oct-17,1.3277,1.3389,1.3404,1.3255,-0.90%
29-Sep-17,1.3397,1.3441,1.3446,1.3349,-0.34%
28-Sep-17,1.3443,1.3386,1.3457,1.3344,0.42%
27-Sep-17,1.3387,1.3459,1.3464,1.3364,-0.53%
26-Sep-17,1.3458,1.3468,1.3517,1.341,-0.07%
25-Sep-17,1.3467,1.3493,1.3572,1.3431,-0.19%
22-Sep-17,1.3493,1.3581,1.3597,1.345,-0.63%
21-Sep-17,1.3579,1.3493,1.3588,1.347,0.63%
20-Sep-17,1.3494,1.351,1.3658,1.3452,-0.11%
19-Sep-17,1.3509,1.3495,1.3553,1.3469,0.11%
18-Sep-17,1.3494,1.3576,1.362,1.3465,-0.73%
15-Sep-17,1.3593,1.3398,1.3617,1.3381,1.46%
14-Sep-17,1.3397,1.3211,1.3407,1.3162,1.41%
13-Sep-17,1.3211,1.3284,1.333,1.3185,-0.55%
12-Sep-17,1.3284,1.3163,1.33,1.316,0.92%
11-Sep-17,1.3163,1.3203,1.3224,1.3159,-0.27%
8-Sep-17,1.3199,1.31,1.3226,1.3093,0.75%
7-Sep-17,1.3101,1.3043,1.3117,1.3032,0.44%
6-Sep-17,1.3043,1.3032,1.3084,1.3018,0.08%
5-Sep-17,1.3033,1.2927,1.3044,1.2909,0.79%
4-Sep-17,1.2931,1.2959,1.2967,1.291,-0.15%
1-Sep-17,1.295,1.2931,1.2997,1.2904,0.15%
31-Aug-17,1.2931,1.2927,1.2936,1.2851,0.05%
30-Aug-17,1.2925,1.2919,1.294,1.2877,0.04%
29-Aug-17,1.292,1.2931,1.2979,1.2914,-0.10%
28-Aug-17,1.2933,1.2902,1.2948,1.2873,0.36%
25-Aug-17,1.2887,1.2799,1.2891,1.2793,0.68%
24-Aug-17,1.28,1.2796,1.2837,1.2771,0.00%
23-Aug-17,1.28,1.2824,1.2835,1.2779,-0.19%
22-Aug-17,1.2824,1.2897,1.291,1.2809,-0.60%
21-Aug-17,1.2901,1.287,1.2918,1.2849,0.19%
18-Aug-17,1.2876,1.2869,1.292,1.2834,0.05%
17-Aug-17,1.2869,1.2894,1.2914,1.2855,-0.16%
16-Aug-17,1.289,1.287,1.2905,1.2842,0.16%
15-Aug-17,1.287,1.2964,1.2971,1.2845,-0.73%
14-Aug-17,1.2965,1.2994,1.3024,1.2957,-0.36%
11-Aug-17,1.3012,1.2976,1.3031,1.2938,0.29%
10-Aug-17,1.2975,1.3,1.3017,1.2951,-0.23%
9-Aug-17,1.3005,1.2989,1.3029,1.2966,0.11%
8-Aug-17,1.2991,1.3035,1.3055,1.2952,-0.34%
7-Aug-17,1.3035,1.3028,1.3063,1.3014,-0.02%
4-Aug-17,1.3037,1.3135,1.3165,1.3022,-0.78%
3-Aug-17,1.3139,1.3221,1.3266,1.3112,-0.64%
2-Aug-17,1.3223,1.3203,1.3252,1.3189,0.15%
1-Aug-17,1.3203,1.3216,1.3249,1.3192,-0.08%
31-Jul-17,1.3214,1.3131,1.3225,1.3096,0.60%
28-Jul-17,1.3135,1.3067,1.3155,1.306,0.53%
27-Jul-17,1.3066,1.3119,1.3157,1.3051,-0.42%
26-Jul-17,1.3121,1.3021,1.3125,1.3001,0.73%
25-Jul-17,1.3026,1.303,1.3085,1.3007,-0.02%
24-Jul-17,1.3029,1.2986,1.3058,1.2986,0.26%
21-Jul-17,1.2995,1.2975,1.3024,1.2954,0.16%
20-Jul-17,1.2974,1.3024,1.3038,1.2934,-0.34%
19-Jul-17,1.3018,1.3037,1.3053,1.3009,-0.17%
18-Jul-17,1.304,1.3057,1.3127,1.3004,-0.11%
17-Jul-17,1.3055,1.31,1.3113,1.3045,-0.31%
14-Jul-17,1.3096,1.2936,1.3114,1.2933,1.21%
13-Jul-17,1.294,1.2887,1.2959,1.2879,0.43%
12-Jul-17,1.2885,1.2848,1.2908,1.2811,0.28%
11-Jul-17,1.2849,1.2885,1.2932,1.2833,-0.23%
10-Jul-17,1.2879,1.2886,1.2912,1.2857,-0.10%
7-Jul-17,1.2892,1.2969,1.2977,1.2867,-0.61%
6-Jul-17,1.2971,1.2936,1.2984,1.2919,0.27%
5-Jul-17,1.2936,1.2917,1.295,1.2891,0.12%
4-Jul-17,1.292,1.294,1.2962,1.2913,-0.13%
3-Jul-17,1.2937,1.3011,1.3024,1.293,-0.69%
30-Jun-17,1.3027,1.3005,1.3032,1.2948,0.16%
29-Jun-17,1.3006,1.2923,1.3013,1.2919,0.62%
28-Jun-17,1.2926,1.2817,1.2974,1.2792,0.86%
27-Jun-17,1.2816,1.2723,1.286,1.2716,0.75%
26-Jun-17,1.2721,1.2729,1.276,1.2704,0.02%
23-Jun-17,1.2718,1.2681,1.2745,1.2673,0.28%
22-Jun-17,1.2682,1.267,1.2692,1.2652,0.09%
21-Jun-17,1.2671,1.2631,1.2712,1.2591,0.32%
20-Jun-17,1.2631,1.2732,1.2759,1.2603,-0.82%
19-Jun-17,1.2736,1.2787,1.2817,1.2724,-0.31%
